probeID	Gene	GWAS_LOCUS	p_SMR	p_HEIDI
ENSG00000011405	PIK3C2A	chr11:16085616:18400339	3.816927e-09	0.0006374243
ENSG00000188211	NCR3LG1	chr11:16085616:18400339	2.810541e-09	0.000245951
ENSG00000187486	KCNJ11	chr11:16085616:18400339	6.485613e-16	0.125534
ENSG00000149084	HSD17B12	chr11:42856384:44845289	8.95921e-13	0.7090297
ENSG00000121671	CRY2	chr11:44845289:46689497	1.655104e-07	0.1920638
ENSG00000165917	RAPSN	chr11:46689497:48701019	2.972302e-06	0.05560815
ENSG00000109919	MTCH2	chr11:46689497:48701019	2.912356e-05	0.002900157
ENSG00000109920	FNBP4	chr11:46689497:48701019	8.230911e-06	0.1050662
ENSG00000245532	NEAT1	chr11:64404726:66885771	1.537478e-06	3.40155e-05
ENSG00000173727	AP000769.1	chr11:64404726:66885771	6.113504e-09	0.0009926295
ENSG00000168056	LTBP3	chr11:64404726:66885771	3.312477e-13	0.2682473
ENSG00000260233	SSSCA1-AS1	chr11:64404726:66885771	1.665601e-08	0.003779279
ENSG00000173442	EHBP1L1	chr11:64404726:66885771	3.394537e-10	0.009134315
ENSG00000172922	RNASEH2C	chr11:64404726:66885771	1.867966e-05	0.006747738
ENSG00000172543	CTSW	chr11:64404726:66885771	7.529945e-06	0.004023929
ENSG00000172500	FIBP	chr11:64404726:66885771	1.06756e-05	0.03948727
ENSG00000245148	ARAP1-AS2	chr11:71700952:73786417	1.932804e-06	4.595618e-05
ENSG00000214530	STARD10	chr11:71700952:73786417	2.353602e-07	0.0009557967
ENSG00000256269	HMBS	chr11:118081661:120081661	3.278021e-06	0.1993077
