chr	start	end	strand	gene_id	gene_name
chr11	75780	76143	+	ENSG00000253826.1	WBP1LP10
chr11	86649	87586	-	ENSG00000224777.3	OR4F2P
chr11	112967	125927	-	ENSG00000254468.2	ENSG00000254468
chr11	123312	126123	+	ENSG00000270921.1	CICP23
chr11	127204	139612	-	ENSG00000230724.9	LINC01001
chr11	129279	186136	+	ENSG00000255229.1	ENSG00000255229
chr11	152999	153102	-	ENSG00000222225.1	RNU6-447P
chr11	167784	207399	-	ENSG00000177951.18	BET1L
chr11	193078	194575	+	ENSG00000188076.3	SCGB1C1
chr11	196761	200261	+	ENSG00000177947.15	ODF3
chr11	203623	205470	+	ENSG00000254559.1	ENSG00000254559
chr11	207708	215113	+	ENSG00000177963.15	RIC8A
chr11	209336	209406	+	ENSG00000283920.1	MIR6743
chr11	215030	236931	-	ENSG00000142082.15	SIRT3
chr11	236966	252984	+	ENSG00000185627.19	PSMD13
chr11	243099	243483	-	ENSG00000277290.1	ENSG00000277290
chr11	253416	269399	-	ENSG00000289568.2	ENSG00000289568
chr11	278407	285388	+	ENSG00000174885.13	NLRP6
chr11	287305	288987	+	ENSG00000255026.1	ENSG00000255026
chr11	289126	296107	+	ENSG00000142102.16	PGGHG
chr11	298200	299526	-	ENSG00000206013.2	IFITM5
chr11	303655	309397	+	ENSG00000185201.18	IFITM2
chr11	303856	304144	-	ENSG00000255533.1	ENSG00000255533
chr11	308408	315272	+	ENSG00000288681.1	ENSG00000288681
chr11	310041	315272	+	ENSG00000185885.17	IFITM1
chr11	310139	311141	-	ENSG00000254910.1	ENSG00000254910
chr11	318640	325631	+	ENSG00000251661.3	ENSG00000251661
chr11	319676	329475	-	ENSG00000142089.17	IFITM3
chr11	321991	322426	+	ENSG00000255089.1	ENSG00000255089
chr11	327171	330190	+	ENSG00000255328.2	ENSG00000255328
chr11	333192	333688	+	ENSG00000270972.1	ENSG00000270972
chr11	369499	382117	+	ENSG00000182272.12	B4GALNT4
chr11	392614	404908	+	ENSG00000184363.10	PKP3
chr11	405716	417455	-	ENSG00000185187.13	SIGIRR
chr11	417933	442011	-	ENSG00000185101.13	ANO9
chr11	440399	440693	-	ENSG00000243562.3	RN7SL838P
chr11	448268	491399	+	ENSG00000174915.12	PTDSS2
chr11	462930	463899	-	ENSG00000255237.1	ENSG00000255237
chr11	494512	507300	-	ENSG00000023191.17	RNH1
chr11	512513	518134	+	ENSG00000288033.1	ENSG00000288033
chr11	528907	529659	+	ENSG00000254739.1	ENSG00000254739
chr11	532242	537321	-	ENSG00000174775.18	HRAS
chr11	537527	554912	+	ENSG00000161328.11	LRRC56
chr11	554850	560738	-	ENSG00000185522.9	LMNTD2
chr11	557595	560107	+	ENSG00000254815.6	LMNTD2-AS1
chr11	560404	564025	+	ENSG00000099849.15	RASSF7
chr11	565657	568457	-	ENSG00000247095.4	MIR210HG
chr11	568089	568198	-	ENSG00000199038.1	MIR210
chr11	576470	612222	+	ENSG00000070047.13	PHRF1
chr11	612553	615983	-	ENSG00000185507.21	IRF7
chr11	616577	626078	-	ENSG00000099834.19	CDHR5
chr11	626309	627181	-	ENSG00000070031.4	SCT
chr11	637269	640706	+	ENSG00000069696.7	DRD4
chr11	644233	707118	-	ENSG00000177030.19	DEAF1
chr11	665910	678391	+	ENSG00000255158.1	ENSG00000255158
chr11	694438	727727	+	ENSG00000177106.17	EPS8L2
chr11	695591	705028	+	ENSG00000177042.16	TMEM80
chr11	708564	727047	-	ENSG00000269915.1	ENSG00000269915
chr11	747415	765012	+	ENSG00000177156.11	TALDO1
chr11	767220	777488	-	ENSG00000177225.17	GATD1
chr11	777574	784298	+	ENSG00000255284.3	ENSG00000255284
chr11	779617	780755	+	ENSG00000279672.2	ENSG00000279672
chr11	781645	782105	+	ENSG00000255142.1	ENSG00000255142
chr11	787115	790113	-	ENSG00000184524.6	CEND1
chr11	790475	798281	-	ENSG00000177542.11	SLC25A22
chr11	797511	799190	+	ENSG00000288675.1	PANO1
chr11	799179	809753	-	ENSG00000177595.19	PIDD1
chr11	809965	812880	+	ENSG00000177600.9	RPLP2
chr11	811681	811814	+	ENSG00000199785.1	SNORA52
chr11	818914	825573	+	ENSG00000177666.17	PNPLA2
chr11	823634	832883	-	ENSG00000255108.1	ENSG00000255108
chr11	826144	831991	+	ENSG00000177685.17	CRACR2B
chr11	832887	839831	+	ENSG00000177697.19	CD151
chr11	837356	842529	-	ENSG00000177700.6	POLR2L
chr11	842812	867116	+	ENSG00000214063.12	TSPAN4
chr11	856880	859795	-	ENSG00000250397.2	ENSG00000250397
chr11	867859	915058	-	ENSG00000177830.18	CHID1
chr11	924881	1012245	+	ENSG00000183020.15	AP2A2
chr11	948421	948524	+	ENSG00000222561.1	RNU6-1025P
chr11	1012823	1036718	-	ENSG00000184956.16	MUC6
chr11	1049880	1055749	+	ENSG00000254872.3	LINC02688
chr11	1074875	1110511	+	ENSG00000198788.9	MUC2
chr11	1157953	1201138	+	ENSG00000215182.8	MUC5AC
chr11	1218530	1220242	+	ENSG00000286275.1	ENSG00000286275
chr11	1223066	1262172	+	ENSG00000117983.17	MUC5B
chr11	1242261	1249676	-	ENSG00000255177.2	MUC5B-AS1
chr11	1256605	1256670	+	ENSG00000275669.1	MIR6744
chr11	1274371	1309654	-	ENSG00000078902.16	TOLLIP
chr11	1309769	1310707	+	ENSG00000255153.1	TOLLIP-DT
chr11	1333250	1337068	-	ENSG00000287935.1	ENSG00000287935
chr11	1350359	1364286	+	ENSG00000285985.1	LINC02689
chr11	1389899	1462689	+	ENSG00000174672.16	BRSK2
chr11	1464582	1467632	-	ENSG00000285581.1	ENSG00000285581
chr11	1469457	1501247	-	ENSG00000182208.15	MOB2
chr11	1554051	1572271	-	ENSG00000184545.11	DUSP8
chr11	1571353	1599184	+	ENSG00000233930.4	KRTAP5-AS1
chr11	1584342	1585283	-	ENSG00000205869.2	KRTAP5-1
chr11	1597177	1598294	-	ENSG00000205867.3	KRTAP5-2
chr11	1607565	1608463	-	ENSG00000196224.7	KRTAP5-3
chr11	1620958	1622138	-	ENSG00000241598.6	KRTAP5-4
chr11	1629775	1630707	+	ENSG00000185940.10	KRTAP5-5
chr11	1662584	1663343	-	ENSG00000231487.1	ENSG00000231487
chr11	1665597	1667856	+	ENSG00000205866.4	FAM99A
chr11	1683269	1685629	-	ENSG00000205865.4	FAM99B
chr11	1688297	1689056	+	ENSG00000227306.1	LINC02708
chr11	1697195	1697755	+	ENSG00000205864.1	KRTAP5-6
chr11	1732406	1750595	-	ENSG00000244242.2	IFITM10
chr11	1734821	1763954	-	ENSG00000250644.3	ENSG00000250644
chr11	1752752	1764573	-	ENSG00000117984.15	CTSD
chr11	1760348	1762486	+	ENSG00000235027.1	ENSG00000235027
chr11	1763009	1763749	-	ENSG00000229512.1	ENSG00000229512
chr11	1773745	1774903	+	ENSG00000287484.1	ENSG00000287484
chr11	1776930	1778388	-	ENSG00000230834.1	ENSG00000230834
chr11	1792553	1792870	+	ENSG00000230980.1	RPL36AP39
chr11	1802889	1804095	-	ENSG00000230080.2	ENSG00000230080
chr11	1828307	1837521	+	ENSG00000149043.17	SYT8
chr11	1838981	1841680	+	ENSG00000130598.17	TNNI2
chr11	1850904	1892267	+	ENSG00000130592.17	LSP1
chr11	1859464	1859536	-	ENSG00000264493.1	MIR4298
chr11	1864177	1866667	+	ENSG00000249086.1	ENSG00000249086
chr11	1880045	1880147	+	ENSG00000284594.1	MIR7847
chr11	1888078	1891895	-	ENSG00000283787.2	PRR33
chr11	1897015	1908656	+	ENSG00000229671.3	LINC01150
chr11	1919703	1938706	+	ENSG00000130595.19	TNNT3
chr11	1947278	1984522	+	ENSG00000214026.11	MRPL23
chr11	1983237	1989964	-	ENSG00000226416.2	MRPL23-AS1
chr11	1991096	1993670	+	ENSG00000232987.2	LINC01219
chr11	1995171	2001470	-	ENSG00000130600.20	H19
chr11	1996540	1996610	+	ENSG00000275266.1	ENSG00000275266
chr11	1996759	1996831	-	ENSG00000284010.1	MIR675
chr11	1997484	1997552	+	ENSG00000274866.1	ENSG00000274866
chr11	2129112	2158391	-	ENSG00000167244.22	IGF2
chr11	2129121	2129964	-	ENSG00000240801.1	ENSG00000240801
chr11	2131395	2149603	-	ENSG00000284779.3	ENSG00000284779
chr11	2132538	2161209	-	ENSG00000129965.15	INS-IGF2
chr11	2134134	2134209	-	ENSG00000207805.3	MIR483
chr11	2140501	2148666	+	ENSG00000099869.8	IGF2-AS
chr11	2159779	2161221	-	ENSG00000254647.7	INS
chr11	2163929	2171815	-	ENSG00000180176.15	TH
chr11	2173063	2173138	+	ENSG00000265258.1	MIR4686
chr11	2268498	2270588	-	ENSG00000183734.5	ASCL2
chr11	2295628	2303049	-	ENSG00000110665.12	C11orf21
chr11	2301997	2318204	+	ENSG00000064201.16	TSPAN32
chr11	2321718	2321827	+	ENSG00000207308.1	RNU6-878P
chr11	2328749	2377992	-	ENSG00000238184.1	CD81-AS1
chr11	2335135	2347685	-	ENSG00000236264.5	RPL26P30
chr11	2372638	2372750	+	ENSG00000199550.1	Y_RNA
chr11	2376177	2397397	+	ENSG00000110651.12	CD81
chr11	2400488	2403878	+	ENSG00000184281.15	TSSC4
chr11	2404515	2407908	+	ENSG00000230483.1	ENSG00000230483
chr11	2404515	2444514	-	ENSG00000070985.14	TRPM5
chr11	2444684	2849105	+	ENSG00000053918.18	KCNQ1
chr11	2608328	2699994	-	ENSG00000269821.1	KCNQ1OT1
chr11	2652099	2652562	+	ENSG00000275666.1	ENSG00000275666
chr11	2674097	2674292	+	ENSG00000276105.1	ENSG00000276105
chr11	2674625	2674740	+	ENSG00000276494.1	ENSG00000276494
chr11	2697851	2698076	+	ENSG00000276015.1	ENSG00000276015
chr11	2771356	2771577	+	ENSG00000236041.1	COX6CP18
chr11	2840135	2861568	-	ENSG00000229414.2	KCNQ1-AS1
chr11	2870033	2872105	+	ENSG00000237941.2	KCNQ1DN
chr11	2871437	2871498	+	ENSG00000274740.1	ENSG00000274740
chr11	2883213	2885775	-	ENSG00000129757.15	CDKN1C
chr11	2887344	2903575	-	ENSG00000254827.6	SLC22A18AS
chr11	2899721	2925246	+	ENSG00000110628.16	SLC22A18
chr11	2928273	2929420	-	ENSG00000181649.8	PHLDA2
chr11	2944431	2992377	-	ENSG00000205531.13	NAP1L4
chr11	2963771	2963893	-	ENSG00000207008.1	SNORA54
chr11	2989863	2991344	+	ENSG00000183562.3	ENSG00000183562
chr11	3000922	3057613	-	ENSG00000110619.18	CARS1
chr11	3029009	3041260	+	ENSG00000247473.2	CARS1-AS1
chr11	3048359	3048521	-	ENSG00000201616.1	RNU1-91P
chr11	3057538	3064707	+	ENSG00000285644.1	ENSG00000285644
chr11	3084393	3085443	-	ENSG00000236710.1	ENSG00000236710
chr11	3087107	3166739	-	ENSG00000021762.20	OSBPL5
chr11	3189546	3189929	+	ENSG00000234791.1	ENSG00000234791
chr11	3217944	3218813	-	ENSG00000182170.3	MRGPRG
chr11	3218332	3223131	+	ENSG00000236301.5	MRGPRG-AS1
chr11	3225030	3232417	-	ENSG00000184350.11	MRGPRE
chr11	3226061	3232838	+	ENSG00000224513.2	ENSG00000224513
chr11	3276045	3276390	+	ENSG00000236987.2	NDUFA5P8
chr11	3289311	3289642	-	ENSG00000276951.1	ENSG00000276951
chr11	3321862	3322202	+	ENSG00000232390.3	NDUFA5P1
chr11	3335125	3335407	-	ENSG00000273813.1	ENSG00000273813
chr11	3336721	3340630	+	ENSG00000254592.1	ENSG00000254592
chr11	3339261	3379222	-	ENSG00000005801.18	ZNF195
chr11	3380918	3408981	+	ENSG00000223756.8	TSSC2
chr11	3390780	3391752	-	ENSG00000189398.5	OR7E12P
chr11	3410352	3422496	-	ENSG00000166492.9	FAM86GP
chr11	3429758	3500621	-	ENSG00000284605.1	ENPP7P15
chr11	3469319	3531328	+	ENSG00000254757.1	ENSG00000254757
chr11	3475280	3477065	-	ENSG00000287906.1	ENSG00000287906
chr11	3481520	3581211	-	ENSG00000255367.3	ENSG00000255367
chr11	3511559	3520886	+	ENSG00000287312.1	ENSG00000287312
chr11	3531420	3531608	+	ENSG00000255522.1	SNRPCP5
chr11	3549745	3550519	-	ENSG00000237226.1	RPS3AP39
chr11	3559657	3560022	+	ENSG00000223688.2	RPS24P14
chr11	3580927	3581135	-	ENSG00000284639.1	ENSG00000284639
chr11	3591277	3591615	-	ENSG00000230851.1	ENSG00000230851
chr11	3599595	3600706	-	ENSG00000238161.1	OR7E117P
chr11	3610324	3614790	+	ENSG00000289718.1	XNDC1CP
chr11	3616679	3637672	+	ENSG00000182048.13	TRPC2
chr11	3638512	3642316	-	ENSG00000167311.14	ART5
chr11	3645128	3664416	+	ENSG00000129744.3	ART1
chr11	3663815	3663911	-	ENSG00000201279.1	Y_RNA
chr11	3665164	3665259	-	ENSG00000200201.1	Y_RNA
chr11	3665587	3671384	-	ENSG00000129749.3	CHRNA10
chr11	3671083	3797792	-	ENSG00000110713.17	NUP98
chr11	3706681	3707754	-	ENSG00000289468.1	ENSG00000289468
chr11	3714772	3714875	-	ENSG00000251934.1	RNU6-1143P
chr11	3781395	3781456	+	ENSG00000238304.1	RNU7-50P
chr11	3797724	3826371	+	ENSG00000148985.20	PGAP2
chr11	3826978	3840959	-	ENSG00000177105.10	RHOG
chr11	3854318	3855509	-	ENSG00000228661.1	STIM1-AS1
chr11	3854527	4093210	+	ENSG00000167323.12	STIM1
chr11	3854612	3855399	+	ENSG00000229368.1	ENSG00000229368
chr11	3856062	3856141	+	ENSG00000284525.1	MIR4687
chr11	3892398	3892887	-	ENSG00000230593.3	PPIAP40
chr11	3922567	3922703	+	ENSG00000206976.1	ENSG00000206976
chr11	3961277	3961538	+	ENSG00000255232.1	ENSG00000255232
chr11	3972881	3974237	-	ENSG00000255141.1	HNRNPA1P76
chr11	3989163	3989463	-	ENSG00000224555.3	ENSG00000224555
chr11	4018948	4019118	+	ENSG00000240385.1	RPS29P20
chr11	4094707	4138932	+	ENSG00000167325.15	RRM1
chr11	4137116	4138257	-	ENSG00000255276.1	RRM1-AS1
chr11	4146112	4151104	-	ENSG00000231548.2	OR55B1P
chr11	4179675	4202663	+	ENSG00000254480.2	LINC02749
chr11	4210354	4212091	-	ENSG00000255387.1	RDXP1
chr11	4233288	4233872	+	ENSG00000284018.1	SSU72P5
chr11	4242056	4242640	-	ENSG00000284306.1	SSU72P2
chr11	4278705	4279192	+	ENSG00000236175.3	SSU72P6
chr11	4287499	4288083	-	ENSG00000283873.1	SSU72P4
chr11	4329865	4330449	+	ENSG00000284546.1	SSU72P3
chr11	4338660	4339244	-	ENSG00000284438.1	SSU72P7
chr11	4367263	4368386	-	ENSG00000221996.6	OR52B4
chr11	4378282	4379209	+	ENSG00000175800.5	OR52B3P
chr11	4384897	4393702	-	ENSG00000132109.10	TRIM21
chr11	4393775	4520905	+	ENSG00000225101.7	OR52K3P
chr11	4418060	4419011	+	ENSG00000237272.2	OR51R1P
chr11	4431323	4432277	-	ENSG00000171999.7	OR52P2P
chr11	4449295	4450361	+	ENSG00000181963.5	OR52K2
chr11	4482646	4493497	+	ENSG00000196778.4	OR52K1
chr11	4514966	4515924	-	ENSG00000226616.1	OR52M2P
chr11	4545191	4546144	+	ENSG00000197790.1	OR52M1
chr11	4571423	4577820	-	ENSG00000171987.3	C11orf40
chr11	4581743	4593340	+	ENSG00000226288.3	OR52I2
chr11	4593750	4595013	+	ENSG00000232268.7	OR52I1
chr11	4598672	4608231	-	ENSG00000167333.13	TRIM68
chr11	4637477	4643060	+	ENSG00000197428.3	OR51D1
chr11	4643420	4655488	+	ENSG00000180785.10	OR51E1
chr11	4660853	4661763	-	ENSG00000180723.6	OR51A9P
chr11	4680171	4697854	-	ENSG00000167332.9	OR51E2
chr11	4690423	4697831	-	ENSG00000197674.7	OR51C1P
chr11	4704784	4992431	+	ENSG00000167346.9	MMP26
chr11	4709569	4712421	+	ENSG00000272634.2	OR51F5P
chr11	4718612	4719559	+	ENSG00000272664.1	OR51C4P
chr11	4722740	4724171	-	ENSG00000271602.1	KRT8P49
chr11	4736178	4737078	-	ENSG00000272559.1	OR51F3P
chr11	4752046	4752944	-	ENSG00000273051.1	OR51F4P
chr11	4756645	4756797	+	ENSG00000201980.1	SNORA62
chr11	4768979	4769938	-	ENSG00000280021.3	OR51F1
chr11	4786754	4787705	+	ENSG00000176951.6	OR51N1P
chr11	4793778	4795284	-	ENSG00000231070.1	OR52Y1P
chr11	4803433	4804380	-	ENSG00000279270.2	OR52R1
chr11	4821321	4822456	+	ENSG00000176925.8	OR51F2
chr11	4830175	4833072	+	ENSG00000197984.4	OR51A8P
chr11	4848237	4849208	-	ENSG00000176922.5	OR51S1
chr11	4859610	4863652	-	ENSG00000176904.3	OR51H1
chr11	4871717	4878117	+	ENSG00000198217.4	OR51H2P
chr11	4881819	4882883	+	ENSG00000176900.2	OR51T1
chr11	4889593	4890596	-	ENSG00000197023.6	OR51A6P
chr11	4903783	4909462	+	ENSG00000176895.9	OR51A7
chr11	4912588	4919350	-	ENSG00000176893.6	OR51G2
chr11	4923374	4924339	-	ENSG00000278870.2	OR51G1
chr11	4937371	4938294	-	ENSG00000227023.1	OR51A3P
chr11	4942831	4947605	-	ENSG00000205497.5	OR51A4
chr11	4954772	4955713	-	ENSG00000205496.1	OR51A2
chr11	4972943	4973884	-	ENSG00000225003.1	OR51A5P
chr11	4994851	5005536	+	ENSG00000176798.3	OR51L1
chr11	5015138	5016079	+	ENSG00000224300.1	OR51P1P
chr11	5037013	5037951	+	ENSG00000230261.1	OR52J2P
chr11	5046526	5047461	+	ENSG00000205495.1	OR52J3
chr11	5058650	5059627	-	ENSG00000176787.2	OR52E2
chr11	5069572	5070497	+	ENSG00000273085.3	OR52E1
chr11	5076130	5077066	-	ENSG00000237354.1	OR52S1P
chr11	5092676	5093611	+	ENSG00000226157.1	OR52E3P
chr11	5104153	5105084	+	ENSG00000203560.3	OR52J1P
chr11	5106062	5107530	-	ENSG00000236897.1	ENSG00000236897
chr11	5120621	5124513	-	ENSG00000205494.9	OR52A4P
chr11	5128776	5138356	-	ENSG00000171944.2	OR52A5
chr11	5146824	5154757	-	ENSG00000182070.7	OR52A1
chr11	5170351	5171296	-	ENSG00000176752.6	OR51A1P
chr11	5177714	5178664	-	ENSG00000176748.6	OR52Z1
chr11	5199735	5200682	-	ENSG00000176742.3	OR51V1
chr11	5205041	5207541	+	ENSG00000224091.2	ENSG00000224091
chr11	5224309	5225461	-	ENSG00000285498.1	ENSG00000285498
